This file was created by the Human Brain Project PlatformThis is the connectivity data for a network with parameters N=7000, Ek=10, l=15, rho=0.1, m0=100, phi_up0.9 and phi_down=0.0005start	end
0	14
0	20
0	26
0	28
0	30
0	47
0	60
0	95
0	100
1	3
1	39
1	44
1	48
1	62
1	69
1	73
1	89
1	94
1	97
1	100
1	102
1	106
1	139
1	151
1	191
1	214
1	228
1	272
1	285
1	287
1	293
1	295
1	343
1	422
1	470
1	518
1	531
1	556
1	567
1	588
1	589
1	604
1	676
1	720
1	723
1	748
1	760
1	774
1	788
1	817
1	836
1	855
1	861
1	875
1	885
1	923
1	930
1	937
1	1039
1	1060
1	1061
1	1090
1	1271
1	1276
1	1308
1	1326
1	1327
1	1379
1	1437
1	1438
1	1447
1	1481
1	1503
1	1616
1	1619
1	1632
1	1661
1	1766
1	1875
1	1887
1	1888
1	1927
1	2030
1	2103
1	2405
1	2448
1	2595
1	2603
1	2629
1	2772
1	2773
1	2779
1	2901
1	2916
1	2945
1	3184
1	3299
1	4054
2	4
2	40
2	53
2	59
2	72
2	75
2	83
2	86
2	89
2	95
2	97
2	100
2	106
2	113
2	114
2	116
2	122
2	131
2	138
2	146
2	158
2	163
2	176
2	179
2	191
2	195
2	204
2	205
2	206
2	207
2	212
2	257
2	277
2	291
2	316
2	319
2	328
2	338
2	352
2	396
2	397
2	414
2	436
2	445
2	452
2	478
2	505
2	511
2	518
2	522
2	523
2	545
2	549
2	552
2	578
2	583
2	587
2	591
2	606
2	624
2	649
2	661
2	664
2	667
2	680
2	686
2	741
2	744
2	766
2	772
2	787
2	789
2	797
2	818
2	827
2	843
2	845
2	856
2	899
2	949
2	957
2	962
2	981
2	1020
2	1053
2	1060
2	1061
2	1063
2	1065
2	1090
2	1120
2	1122
2	1142
2	1215
2	1254
2	1321
2	1350
2	1360
2	1405
2	1418
2	1488
2	1499
2	1519
2	1547
2	1571
2	1577
2	1590
2	1601
2	1694
2	1696
2	1778
2	1839
2	1841
2	1843
2	1845
2	1920
2	1931
2	1934
2	1960
2	1990
2	2013
2	2050
2	2051
2	2086
2	2117
2	2135
2	2151
2	2224
2	2270
2	2301
2	2309
2	2428
2	2471
2	2494
2	2516
2	2532
2	2550
2	2572
2	2582
2	2611
2	2616
2	2625
2	2699
2	2705
2	2728
2	2740
2	2744
2	2757
2	2794
2	2842
2	2906
2	2915
2	2922
2	2974
2	3071
2	3094
2	3107
2	3120
2	3154
2	3292
2	3331
2	3366
2	3385
2	3433
2	3465
2	3682
2	3942
2	4094
2	4224
2	4446
2	4480
2	4548
2	4792
2	4947
2	5255
2	5808
2	6361
2	6617
2	6756
3	2
3	6
3	7
3	26
3	38
3	42
3	52
